provider,city,car type,Night_start_time,night base fare,night base km,fare per km,Night waiting Charge,day base fare,day base km,fare per km,Day waiting charge,Night_end_time,Minimum bill,Cancellation Charge,ride charge,ride charge after,night ride charge,nide ride charge after
ola,Indore,Mini,0,49,3,10,0,49,3,10,0,0,0,0,1,0,1,0
ola,Rajkot,Economy Sedan,0,49,2,14,0,49,2,14,0,0,0,0,1,0,1,0
ola,Rajkot,Mini,0,49,2,12,0,49,2,12,0,0,0,0,1,0,1,0
ola,Belagavi,Mini,0,49,2,10,0,49,2,10,0,0,0,0,1,0,1,0
ola,Thiruvananthapuram,Economy Sedan,0,49,2,13,0,49,2,13,0,0,0,0,1,0,1,0
ola,Thiruvananthapuram,Mini,0,49,2,11,0,49,2,11,0,0,0,0,1,0,1,0
ola,Dhanbad,Economy Sedan,0,49,2,12,0,49,2,12,0,0,0,0,1,0,1,0
ola,Dhanbad,Mini,0,49,3,10,0,49,3,10,0,0,0,0,1,0,1,0
ola,Jamshedpur,Economy Sedan,0,49,2,13,0,49,2,13,0,0,0,0,1,0,1,0
ola,Jamshedpur,Mini,0,49,3,10,0,49,3,10,0,0,0,0,1,0,1,0
ola,Aligarh,Economy Sedan,0,60,2,13,0,60,2,13,0,0,0,0,1,0,1,0
ola,Aligarh,Mini,0,60,2,10,0,60,2,10,0,0,0,0,1,0,1,0
TaxiForSure,Agra,hatchback,0,49,4,12,0,49,4,12,0,6,0,0,1,0,1,0
TaxiForSure,Agra,sedan,0,49,4,14,0,49,4,14,0,6,0,0,1,0,1,0
TaxiForSure,Ahmedabad,hatchback,0,74,4,15,0,49,4,12,0,5,0,0,1,0,1,0
TaxiForSure,Ahmedabad,sedan,0,74,4,17,0,49,4,14,0,5,0,0,1,0,1,0
TaxiForSure,Ajmer,hatchback,0,74,4,12,0,49,4,10,0,6,0,0,1,0,1,0
TaxiForSure,Ajmer,sedan,0,74,4,14,0,49,4,12,0,6,0,0,1,0,1,0
TaxiForSure,Allahabad,hatchback,0,49,4,12,0,49,4,12,0,6,0,0,1,0,1,0
TaxiForSure,Allahabad,sedan,0,49,4,14,0,49,4,14,0,6,0,0,1,0,1,0
TaxiForSure,Amritsar,hatchback,0,99,3,16,0,49,3,14,0,5,0,0,1,0,1,0
TaxiForSure,Amritsar,sedan,0,99,3,18,0,49,3,16,0,5,0,0,1,0,1,0
TaxiForSure,Aurangabad,hatchback,0,79,4,14,0,49,4,10,0,6,0,0,1,0,1,0
TaxiForSure,Aurangabad,sedan,0,79,4,18,0,49,4,14,0,6,0,0,1,0,1,0
TaxiForSure,Bangalore,nano,0,25,0,10,0,25,0,10,0,6,0,0,1,0,1,0
TaxiForSure,Bangalore,hatchback,0,99,4,15,0,49,4,14,0,6,0,0,1,0,1,0
TaxiForSure,Bangalore,sedan,0,99,4,17,0,49,4,16,0,6,0,0,1,0,1,0
TaxiForSure,Baroda,hatchback,0,49,4,12,0,49,4,12,0,5,0,0,1,0,1,0
TaxiForSure,Baroda,sedan,0,49,4,14,0,49,4,14,0,5,0,0,1,0,1,0
TaxiForSure,Bhavnagar,hatchback,0,74,4,14,0,49,4,12,0,6,0,0,1,0,1,0
TaxiForSure,Bhavnagar,sedan,0,74,4,16,0,49,4,14,0,6,0,0,1,0,1,0
TaxiForSure,Bhopal,hatchback,0,74,4,14,0,49,4,12,0,6,0,0,1,0,1,0
TaxiForSure,Bhopal,sedan,0,74,4,16,0,49,4,14,0,6,0,0,1,0,1,0
TaxiForSure,Chandigarh,hatchback,0,99,4,9,0,49,4,7,0,5,0,0,1,0,1,0
TaxiForSure,Chandigarh,sedan,0,99,4,11,0,49,4,9,0,5,0,0,1,0,1,0
TaxiForSure,Chennai,hatchback,0,69,4,19,0,49,4,15,0,5,0,0,1,0,1,0
TaxiForSure,Chennai,sedan,0,69,4,20,0,49,4,16,0,5,0,0,1,0,1,0
TaxiForSure,Chennai,SUV,0,190,5,22.5,0,150,5,18,0,5,0,0,1,0,1,0
TaxiForSure,Coimbatore,hatchback,0,69,4,19,0,49,4,15,0,6,0,0,1,0,1,0
TaxiForSure,Coimbatore,sedan,0,69,4,20,0,49,4,16,0,6,0,0,1,0,1,0
TaxiForSure,Coimbatore,suv,0,190,5,22.5,0,150,5,18,0,6,0,0,1,0,1,0
TaxiForSure,Dehradun,hatchback,0,99,3,16,0,49,3,14,0,5,0,0,1,0,1,0
TaxiForSure,Dehradun,sedan,0,99,3,18,0,49,3,16,0,5,0,0,1,0,1,0
